ID,film,Year,Genre,RunTime,Description,IMDB_Score,Value_IMDB,CU
57,Captain America 4,,"Action,Adventure,Sci-Fi",0,Plot kept under wraps. Fourth film in the Captain America franchise.,0.0,Bad,Marvel
58,Marvel Studios: Assembled,,Documentary,58 min,"Assembled is a comprehensive documentary series that chronicles the creation of Marvel Studios' thrilling new shows and theatrical releases. Assembled is an immersive, and in-depth examination of the next phase of the MCU.",8.0,Good,
59,The Guardians of the Galaxy Holiday Special,,"Action,Adventure,Comedy",0,"Watch the Guardians Star-Lord, Gamora, Drax, Rocket, and Groot engage in some spirited shenanigans in an all-new original special created for Disney+.",0.0,Bad,Marvel
60,X-Men,2011,"Animation,Action,Sci-Fi",0,"X-Men, still grieving over the death of Phoenix (Jean Grey), are investigating a case of a missing mutant girl in Northern Japan. This leads them to a mysterious virus that turns mutants into monsters. U-Men and the Inner Circle want it.",6.9,Bad,Marvel
61,Iron Man: Armored Adventures,,"Animation,Action,Adventure",22 min,A teenage Tony Stark battles evil with his revolutionary power armor technology.,6.5,Bad,Marvel
62,Marvel One-Shot: Agent Carter,,"Short,Action,Adventure",15 min,"Frustrated at being marginalized at work, Peggy Carter goes on an unauthorized solo field mission.",7.6,Good,
63,Team Thor,,"Short,Comedy,Fantasy",4 min,"The story of what the hammer-wielding Nordic god Thor was up to while the rest of the Avengers were battling each other in ""Captain America: Civil War"". He moves into a flat with office worker Darryl Jacobson in Australia.",8.1,Good,Marvel
64,The Oscars,,"Comedy,Music",175 min,The Academy of Motion Picture Arts and Sciences celebrates the previous year's (2013) achievements in film.,7.8,Good,
65,Hulk Vs.,,"Animation,Action,Adventure",82 min,Two stories featuring Marvel's anti-hero The Incredible Hulk and his encounters with the X-Man Wolverine and the god known as Thor.,7.0,Good,Marvel
66,Wolverine,,"Animation,Action,Sci-Fi",23 min,"Logan is asked by his old friend, a cop from Japan, to help him take down Shingen Yashida's crime syndicate and save Mariko, Logan's lost love, from forced marriage arranged by her father Shingen. Yukio, a female assassin, helps him.",6.4,Bad,Marvel
67,The Oscars,,Music,170 min,The 92nd Academy Awards for film achievements in 2019 are presented by the Academy of Motion Picture Arts and Sciences.,6.6,Bad,
68,Avengers: Damage Control,,Action,0,"Join Shuri on an adventure where you are the hero. Combining Wakandan and stark technology you will become a superhero yourself. Fight along Doctor Strange, Ant-Man, The Wasp and many more against an old foe from long ago..",6.6,Bad,Marvel
69,The Sinister Six,,Sci-Fi,0,Plot unknown. Feature film based on the Marvel Comics series about a team of supervillians.,0.0,Bad,
70,Ultimate Avengers: The film,,"Animation,Action,Adventure",72 min,"To confront an alien menace, General Fury assembles a team of superheroes lead by a recently resuscitated Captain America.",6.7,Bad,Marvel
71,The Oscars,,"Comedy,Music",175 min,The 88th Academy Awards ceremony honors achievement in film in 2015.,6.4,Bad,
72,The Oscars,,"Comedy,Music",223 min,The Academy of Motion Picture Arts and Sciences celebrates the year's achievements in film.,6.6,Bad,
73,Iron Man,2010,"Animation,Action,Sci-Fi",25 min,"When Tony Stark branches his company into Japan, he is opposed by the nefarious Zodiac organization. It's up to Stark's Iron Man to defeat the Zodiac, and defend Japan.",6.4,Bad,Marvel
74,Marvel One-Shot: Item 47,,"Short,Action,Sci-Fi",12 min,SHIELD agent Sitwell is assigned to recover an abandoned Chitauri weapon being used by a young couple robbing a bank.,6.7,Bad,
75,Marvel One-Shot: The Consultant,,"Short,Sci-Fi",4 min,"Agents Coulson and Sitwell plan to derail General Thaddeus ""Thunderbolt"" Ross from interfering with S.H.I.E.L.D. affairs with a very special person.",6.6,Bad,Marvel
76,The Invincible Iron Man,,"Animation,Action,Adventure",83 min,"When a cocky industrialist's efforts to raise an ancient Chinese temple leads him to be seriously wounded and captured by enemy forces, he must use his ideas for a revolutionary power armor in order to fight back as a superhero.",5.9,Bad,
77,Blade,2011,"Animation,Action,Horror",25 min,"Legendary half-vampire, half-human vampire hunter Blade is tracking Deacon Frost, a very powerful and influential vampire who killed his mother and who heads Existence, a secretive vampire organization that operates in Southeast Asia.",6.5,Bad,Marvel
78,Iron Man,,"Action,Adventure,Sci-Fi",0,"Tony Stark, gets kidnapped and forced to build a devastating weapon. Instead, he builds a high-tech suit of armor and escapes captivity. When he uncovers a nefarious plot with global implications, he vows to protect the world as Iron Man.",6.9,Bad,Marvel
79,Thor: Tales of Asgard,,"Animation,Action,Adventure",77 min,The young Norse god Thor embarks on a quest with his brother Loki to find and recover a legendary sword.,6.3,Bad,Marvel
80,The Oscars,,"Comedy,Music",187 min,"The 90th Annual Academy Awards ceremony, hosted by Jimmy Kimmel, celebrates the film industry's biggest achievements for the year 2017.",5.7,Bad,
81,The Oscars,,"Comedy,Music",229 min,"The 89th Annual Academy Awards ceremony celebrates the film industry's best and biggest in cinema for the year 2016 with host Jimmy Kimmel, including awards for best actors, directors, songs, original screenplays and motion picture.",6.7,Bad,
82,Iron Man 2,,"Action,Adventure,Crime",0,Video game based upon the film of the same name.,6.2,Bad,
83,Echo,,"Action,Adventure,Crime",0,Plot Unknown.,0.0,Bad,
84,Iron Man and Captain America: Heroes United,,"Animation,Action,Adventure",71 min,"Iron Man and Captain America battle to keep the Red Skull and his triggerman, Taskmaster, from unleashing an army of Hydra Brutes on the world.",5.5,Bad,Marvel
85,Untitled Wakanda Project,,"Action,Adventure,Sci-Fi",0,Plot under wraps.,0.0,Bad,
86,Iron Man & Hulk: Heroes United,,"Animation,Action,Adventure",71 min,The Invincible Iron Man and the Incredible Hulk must join forces to save the Earth from its greatest threat yet.,4.7,Bad,Marvel
87,Lego Marvel Avengers: Climate Conundrum,,Animation,30 min,"When Tony Stark's new weather machine is stolen by AIM, it's up to Black Widow and Hawkeye to retrieve it, taking them on a high-speed chase through New York City.",7.3,Good,Marvel
88,Marvel Studios: Expanding the Universe,2019,"Documentary,Short",12 min,"An exciting look into the future of Marvel Studios, including never-before-seen footage featuring tales and filmmakers from upcoming Disney+ series.",6.8,Bad,
89,Marvel Studios: Assembling a Universe,,"Documentary,History",43 min,"A look at the story behind Marvel Studios and the Marvel Cinematic Universe, featuring interviews and behind-the-scenes footage from all of the Marvel films, the Marvel One-Shots and ""Marvel's Agents of S.H.I.E.L.D.""",7.4,Good,Marvel
90,Stuntwomen: The Untold Hollywood Story,2020,Documentary,84 min,An action-documentary about the evolution of stunt women from The Perils of Pauline (1914) and beyond.,7.0,Good,
91,Untitled Marvel Cinematic Universe Television Show,,Action,0,Plot kept under wraps.,0.0,Bad,
92,Spider-Man Venom Saga,2005,Animation,100 min,A story arc from the 1994 animated series Spider-Man that focused on Venom.,7.7,Good,Marvel
93,Spider-Man: The Ultimate Villain Showdown,,"Animation,Action,Adventure",79 min,"Featuring Green Goblin, Kingpin, and Dr. Octopus.",7.0,Good,
94,2016 MTV film Awards,,"Comedy,News",0,"In a world of award shows that suck, MTV gives you an award show that doesn't suck. Kevin Hart and Dwayne ""The Rock"" Johnson host the 2016 MTV film Awards, an irreverent, in-your-face celebration of the films fans really love with the stars they actually care about. And unlike other award shows, the fans choose the winners, not some exclusive committee of old, rich people. The show includes ...                See full summary »",5.2,Bad,
95,Avengers S.T.A.T.I.O.N.,,Sci-Fi,0,a Plot,7.4,Good,
96,Marvel 75 Years: From Pulp to Pop!,,"Documentary,History",42 min,Emily Vancamp hosts this one of a kind experience showing the history and development of Marvel from the first comic book to the latest blockbuster hit.,7.2,Good,
101,Prodigal,,"Short,Sci-Fi",25 min,"A father seeks redemption by rescuing his daughter, a PRODIGAL, from two organizations hell-bent on acquiring her ""special"" abilities.",6.9,Bad,
102,The Infinite Six,,Short,7 min,"This short explains the six infinity stones that are at the heart of the Marvel cinematic universe. ""Age of Ultron"" executive producer Jeremy Latcham talks about how the stones were adapted from the comics to film.",5.6,Bad,
103,Iron Man 3: The Prologue,2013,"Short,Action",0,a Plot,6.2,Bad,
104,Captain America: Civil War Save a Hero Campaign,,Short,0,a Plot,6.0,Bad,
105,Jack Kirby: Story Teller,,Documentary,64 min,"The life of Jack Kirby as a comic book artist, from his humble beginnings to being the King of Comics.",6.5,Bad,
106,19th Annual Critics' Choice film Awards,,,120 min,a Plot,6.2,Bad,
107,Mutant X,,"Action,Adventure,Drama",42 min,"Mutant X encounters a new faction of New Mutants - the Strand, led by the powerful first mutant, Gabriel Ashlocke.",7.1,Good,Marvel
108,Mutant X,,"Action,Adventure,Drama",43 min,Mutant X tracks down a rogue scientist while Shalimar breaks away from the team to help Adam save the scientist and uncover the real bad guy.,5.6,Bad,Marvel
109,Mutant X,,"Action,Adventure,Drama",43 min,Mutant X unearths an old military experiment involving an age-reversal serum and is surprised to discover that Jesse's grandfather is a one of the test subjects.,5.4,Bad,Marvel
110,Mutant X,,"Action,Adventure,Drama",42 min,"A young New Mutant from Adam's past shows up, seeking revenge for her father's death.",6.8,Bad,Marvel
111,Mutant X,,"Action,Adventure,Drama",43 min,"As the Mutant X team fights to retrieve a formula hidden in a collection of artwork, Shalimar is given vital information from a mysterious source.",6.1,Bad,Marvel
112,Mutant X,,"Action,Adventure,Drama",43 min,The team face their most dangerous mission yet when they set out to stop a group of eco-terrorists.,6.4,Bad,
113,Mutant X,,"Action,Adventure,Drama",42 min,"Jesse is roped into a deadly undercover mission by his estranged father, who is working against Eckhart.",6.5,Bad,
114,Mutant X,,"Action,Adventure,Drama",42 min,"A mutant who was disembodied takes over the bodies of various people. And sets out to go after the ones who did this to him. And one of them is a doctor, Shalamar likes.",6.2,Bad,
115,Mutant X,,"Action,Adventure,Drama",43 min,The Mutant X team learns about Lexa's estranged twin brother when he becomes the main target of an underground operation harvesting mutant organs.,5.9,Bad,Marvel
116,Mutant X,,"Action,Adventure,Drama",43 min,"Lexa's suspicions lead Mutant X to unveil a traveling death camp, which is posed as a circus for mutant refugees and Mutant X's enemy within the Dominion.",6.1,Bad,Marvel
117,Mutant X,,"Action,Adventure,Drama",43 min,"While Brennan and Shalimar investigate a mysterious plane crash, Lexa contemplates her future with the Mutant X team.",5.4,Bad,Marvel
118,Mutant X,,"Action,Adventure,Drama",42 min,"A boy who's developing new mutant abilities has been kidnapped. The team tries to find him, for his mother. They later learn she was the one who had her son kidnapped. She said it was too ...                See full summary »",6.3,Bad,
119,Mutant X,,"Action,Adventure,Drama",42 min,"The team set out to save Brennan, who has become trapped inside an invisible town - and is facing execution for a crime he didn't commit.",6.0,Bad,
120,Mutant X,,"Action,Adventure,Drama",43 min,"Mutant X and Genomex are both captured on film using their powers, and they both have to deal with the reporter who plans to go public with the information.",5.9,Bad,Marvel
121,Mutant X,,"Action,Adventure,Drama",42 min,The team encounters some people trying to break into a Genomex lab and discover that they're ferals. They learn that they're military and that they're entire unit was experimented on which ...                See full summary »,6.5,Bad,
122,Mutant X,,"Action,Adventure,Drama",43 min,The team tries to stop Eckhart from acquiring a rare element. But a thief gets it. The woman who has the ability to make men fall in love with her sets her sights on Brennan. She makes him ...                See full summary »,6.5,Bad,
123,Mutant X,,"Action,Adventure,Drama",43 min,Brennan is forced to return to his criminal past when Mutant X discovers that his old partner is involved in stealing secrets from the Dominion.,6.1,Bad,Marvel
124,Mutant X,,"Action,Adventure,Drama",42 min,"An old friend of Brennan's lures him and Emma into a trap - Emma ends up split into two separate entities, one good and one evil.",6.3,Bad,
125,Mutant X,,"Action,Adventure,Drama",43 min,Mutant X must stop a scientist from cloning women for use as slaves in his ultra-exclusive men's club.,5.7,Bad,Marvel
126,Mutant X,,"Action,Adventure,Drama",43 min,Shalimar's former boyfriend shows up and is trying to recover a Faberge Egg that holds a microchip of extraordinary power.,6.1,Bad,
127,Mutant X,,"Action,Adventure,Drama",43 min,"A mysterious tribunal finds Adam guilty of trying to dominate the world with his super-mutants and sentences him to death, sparking the rest of the team into life as they set out on a mission to save him.",5.7,Bad,
128,Mutant X,,"Action,Adventure,Drama",42 min,"Shalimar becomes close to another feral when it's ""lust at first sight,"" but matters become complicated when her new boyfriend tries to find a cure for his condition.",6.4,Bad,
129,Mutant X,,"Action,Adventure,Drama",43 min,The team go undercover to investigate unexplained deaths in a prison.,6.4,Bad,
130,Mutant X,,"Action,Adventure,Drama",42 min,"Brennan is captured and falls under Eckhart's control, and forced to work against the New Mutants.",6.3,Bad,Marvel
131,Mutant X,,"Action,Adventure,Drama",43 min,"When Jesse's life hangs in the balance, Brennan must connect to him and lead him through past memories they've shared in order to save his life.",6.5,Bad,
132,Mutant X,,"Action,Adventure,Drama",42 min,"Jesse falls in love with a computer hacker, who Eckhart wants to ""procure"" to use to corrupt the public computer news channels against New Mutants and to the GSA's benefit.",6.1,Bad,Marvel
