ID,film,Year,Genre,RunTime,Description,IMDB_Score,Value_IMDB
26,Ant-Man,-2015,"Action,Adventure,Comedy",117 min,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",7.3,Good
27,Captain America: The Winter Soldier,-2014,"Action,Adventure,Sci-Fi",136 min,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",7.7,Good
28,Iron Man 3,-2013,"Action,Adventure,Sci-Fi",130 min,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",7.1,Good
29,What If...?,(2021– ),"Animation,Action,Adventure",0,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory.",0.0,Bad
30,Black Panther: Wakanda Forever,-2022,"Action,Adventure,Drama",0,A sequel that will continue to explore the incomparable world of Wakanda and all the rich and varied characters introduced in the 2018 film.,0.0,Bad
31,Thor: The Dark World,-2013,"Action,Adventure,Fantasy",112 min,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",6.9,Bad
32,Iron Man 2,-2010,"Action,Adventure,Sci-Fi",124 min,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",7.0,Good
33,Spider-Man 3,-2007,"Action,Adventure,Sci-Fi",139 min,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",6.2,Bad
34,Ant-Man and the Wasp,-2018,"Action,Adventure,Comedy",118 min,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",7.0,Good
35,The Incredible Hulk,-2008,"Action,Adventure,Sci-Fi",112 min,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",6.7,Bad
36,Hawkeye,(2021),"Action,Adventure,Crime",60 min,"Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton.",0.0,Bad
37,Guardians of the Galaxy Vol. 3,-2023,"Action,Adventure,Comedy",0,Plot unknown. Third installment of the 'Guardians of the Galaxy' franchise.,0.0,Bad
38,The Marvels,-2024,"Action,Adventure,Fantasy",0,Sequel of the 2019 title 'Captain Marvel'.,0.0,Bad
39,Moon Knight,(2022– ),"Action,Adventure,Drama",0,"Marc Spector is a former CIA agent whose life is saved by the Moon God, Khonshu.",0.0,Bad
40,Long Shot,-2019,"Comedy,Romance",125 min,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",6.8,Bad
41,Ralph Breaks the Internet,-2018,"Animation,Adventure,Comedy",112 min,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",7.0,Good
42,Fantastic 4: Rise of the Silver Surfer,-2007,"Action,Adventure,Fantasy",92 min,The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,5.6,Bad
43,Ms. Marvel,(2022),"Action,Adventure,Comedy",0,New Jersey raised Kamala Khan learns she has polymorphous powers.,0.0,Bad
44,Fantastic Four,,"Action,Adventure,Comedy",0,One of Marvel's most iconic families makes it to the big screen: the Fantastic Four.,0.0,Bad
45,She-Hulk,(2022),"Action,Adventure,Comedy",0,Jennifer Walters acquires Hulk-like qualities.,0.0,Bad
46,Secret Invasion,(2023),"Action,Adventure,Drama",0,Fury and Talos try to stop the Skrulls who have infiltrated the highest spheres of the Marvel Universe.,0.0,Bad
47,Deadpool & Wolverine,-2024,"Action,Comedy,Sci-Fi",0,"The film is rumored to involve another popular group in the X-Men mythos, X-Force.",0.0,Bad
48,Blade,-,"Action,Adventure,Fantasy",0,Plot is unknown at this time.,0.0,Bad
49,Guardians of the Galaxy: Inferno,(2017 Video),"Short,Comedy,Music",4 min,"A Guardians of the Galaxy video, the Guardians Inferno, featuring 80s pop star Zardu Hasselfrau.",8.1,Good
50,Ironheart,-,"Action,Adventure,Drama",0,The genius teenage-girl inventor Riri Williams creates the most advanced suit of armor since Iron Man.,0.0,Bad
51,Armor Wars,-,"Action,Adventure,Drama",0,Find out in this series what would happen if Tony Stark's tech fell into the wrong hands.,0.0,Bad
52,Punisher: War Zone,-2008,"Action,Crime,Drama",103 min,"Frank Castle, known as the Punisher, ruthlessly demolishes organized crime, but it starts an even bigger war.",5.9,Bad
53,Ant-Man and the Wasp: Quantumania,-2023,"Action,Adventure,Comedy",0,The further adventures of Ant-Man and the Wasp.,0.0,Bad
54,I Am Groot,,"Action,Adventure,Comedy",0,A series of shorts featuring the seedling Groot along with several new and unusual characters.,0.0,Bad
55,Marvel Studios: Legends,(2021– ),"Action,Fantasy,Sci-Fi",7 min,This series showcases individual characters from the MCU viewers have come to know and love over the years and revisit some of their most iconic moments.,6.5,Bad
56,Mutant X,(2001–2004),"Action,Adventure,Drama",60 min,"A fugitive geneticist and four of his ""creations"" search for others of their kind while attempting to stay a step ahead of a morally ambiguous government agent.",5.9,Bad
57,Captain America 4,,"Action,Adventure,Sci-Fi",0,Plot kept under wraps. Fourth film in the Captain America franchise.,0.0,Bad
58,Marvel Studios: Assembled,(2021– ),Documentary,58 min,"Assembled is a comprehensive documentary series that chronicles the creation of Marvel Studios' thrilling new shows and theatrical releases. Assembled is an immersive, and in-depth examination of the next phase of the MCU.",8.0,Good
59,The Guardians of the Galaxy Holiday Special,(2022 TV Special),"Action,Adventure,Comedy",0,"Watch the Guardians Star-Lord, Gamora, Drax, Rocket, and Groot engage in some spirited shenanigans in an all-new original special created for Disney+.",0.0,Bad
60,X-Men,-2011,"Animation,Action,Sci-Fi",0,"X-Men, still grieving over the death of Phoenix (Jean Grey), are investigating a case of a missing mutant girl in Northern Japan. This leads them to a mysterious virus that turns mutants into monsters. U-Men and the Inner Circle want it.",6.9,Bad
61,Iron Man: Armored Adventures,(2008–2012),"Animation,Action,Adventure",22 min,A teenage Tony Stark battles evil with his revolutionary power armor technology.,6.5,Bad
62,Marvel One-Shot: Agent Carter,(2013 Video),"Short,Action,Adventure",15 min,"Frustrated at being marginalized at work, Peggy Carter goes on an unauthorized solo field mission.",7.6,Good
63,Team Thor,(2016 Video),"Short,Comedy,Fantasy",4 min,"The story of what the hammer-wielding Nordic god Thor was up to while the rest of the Avengers were battling each other in ""Captain America: Civil War"". He moves into a flat with office worker Darryl Jacobson in Australia.",8.1,Good
64,The Oscars,(2014 TV Special),"Comedy,Music",175 min,The Academy of Motion Picture Arts and Sciences celebrates the previous year's (2013) achievements in film.,7.8,Good
65,Hulk Vs.,(2009 Video),"Animation,Action,Adventure",82 min,Two stories featuring Marvel's anti-hero The Incredible Hulk and his encounters with the X-Man Wolverine and the god known as Thor.,7.0,Good
66,Wolverine,(2011– ),"Animation,Action,Sci-Fi",23 min,"Logan is asked by his old friend, a cop from Japan, to help him take down Shingen Yashida's crime syndicate and save Mariko, Logan's lost love, from forced marriage arranged by her father Shingen. Yukio, a female assassin, helps him.",6.4,Bad
